date,AB_cleaned,AETEC_cleaned,ALKM_cleaned,AL_cleaned,AMV_cleaned,ARTES_cleaned,ASSAD_cleaned,ASSMA_cleaned,AST_cleaned,ATL_cleaned,BHASS_cleaned,BHL_cleaned,BH_cleaned,BIAT_cleaned,BL_cleaned,BNA_cleaned,BS_cleaned,BTEI_cleaned,BT_cleaned,CC_cleaned,CELL_cleaned,CIL_cleaned,CITY_cleaned,DH_cleaned,ECYCL_cleaned,GIF_cleaned,HANL_cleaned,ICF_cleaned,LNDOR_cleaned,LSTR_cleaned,MIP_cleaned,MNP_cleaned,MPBS_cleaned,NAKL_cleaned,NBL_cleaned,OTH_cleaned,PLAST_cleaned,PLTU_cleaned,POULA_cleaned,SAH_cleaned,SAMAA_cleaned,SERVI_cleaned,SFBT_cleaned,SIAM_cleaned,SIPHA_cleaned,SITS_cleaned,SMD_cleaned,SOKNA_cleaned,SOPAT_cleaned,SOTE_cleaned,SPDI_cleaned,STAR_cleaned,STB_cleaned,STIP_cleaned,STVR_cleaned,TINV_cleaned,TJL_cleaned,TLNET_cleaned,TLS_cleaned,TRE_cleaned,UBCI_cleaned,UIB_cleaned,UMED_cleaned,WIFAK_cleaned
2020-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-22,-0.0004032258064516,0.0444444444444442,,,,0.0275,-0.0304347826086955,,,-0.0457142857142857,,0.0,-0.0279870828848223,,,-0.0212765957446809,-0.0113421550094517,,-0.0069324090121315,-0.0064935064935065,-0.0019120458891014,,-0.006993006993007,0.0,-0.0089086859688195,0.0,,0.0262237762237762,-0.0014492753623189,0.0298507462686565,,0.0,,0.0046296296296295,,-0.0135802469135801,,,-0.0187441424554826,0.0,0.0,-0.0099502487562188,-0.0077519379844962,-0.0137931034482758,0.0,,,,0.0,-0.0286298568507157,,,-0.0027472527472528,,-0.0072992700729926,0.0021881838074397,,-0.0011261261261262,0.0293159609120521,,,-0.0019255455712451,0.0009708737864078,0.0
2020-09-23,0.0125050423557886,0.0212765957446807,,,,-0.0048661800486619,0.0,,,0.0119760479041917,-0.0197891621971518,0.0,-0.0310077519379844,,,0.0010869565217392,0.0,,0.0,0.0,-0.0229885057471264,,0.0563380281690142,-0.0033898305084746,0.007191011235955,0.1125,,0.0221465076660987,0.0014513788098695,0.0289855072463769,,0.0078125,-0.0030303030303029,-0.0046082949308754,-0.0093023255813953,0.0175219023779724,,,0.0219675262655203,0.0,0.0,0.0,0.0098958333333334,-0.0034965034965034,-0.0289256198347106,,,,0.0,0.0105263157894737,,,-0.0247933884297519,,0.0202205882352939,-0.0262008733624454,,-0.0078917700112738,,0.0,,0.0,0.0,0.0
2020-09-24,-0.0119521912350597,0.0625,,-0.0067226890756303,,-0.002444987775061,0.0224215246636769,,0.0083478260869565,-0.0118343195266272,0.0607547169811319,0.0,-0.0274285714285714,,,-0.0021715526601521,-0.0019120458891012,,0.0,-0.0196078431372549,0.0470588235294118,,-0.0026666666666665,-0.0040816326530611,-0.0098170459616242,0.0449438202247192,,0.0166666666666666,-0.0043478260869566,0.028169014084507,,0.0232558139534881,0.0,-0.0009259259259261,,0.0,,,0.0,-0.0228571428571429,0.0586206896551724,0.0050251256281406,-0.0103145951521402,0.0105263157894737,0.0765957446808509,,,,0.0,-0.0041666666666665,,,-0.0112994350282485,,-0.0180180180180179,,,-0.0056818181818182,0.0,,,0.0,-0.0009699321047526,
2020-09-25,0.0,0.0392156862745098,,0.0069091934574168,,-0.0147058823529413,-0.0043859649122806,,0.0,0.0,,0.0,0.0270270270270269,,,-0.0032644178454841,-0.0114942528735632,0.0,0.0034904013961605,0.0133333333333334,0.0,,-0.0294117647058824,0.0,0.0036052275799909,0.064516129032258,,0.0081967213114753,-0.0029112081513829,0.0273972602739727,,-0.0287878787878786,0.0273556231003038,0.0055607043558851,-0.0070422535211266,0.0073800738007379,,,0.0,0.0077972709551656,-0.0162866449511399,0.0149999999999999,0.0,-0.0104166666666666,0.0079051383399209,0.0,,-0.0068965517241379,0.0,0.0292887029288702,,0.0608795681798071,-0.0199999999999999,,0.0440366972477064,-0.0291479820627802,,0.0,0.0,,,0.0032154340836012,-0.0087378640776698,
2020-09-28,0.0,0.0377358490566037,,0.0,,0.0149253731343284,-0.0176211453744493,,,0.0,-0.0008893632159373,0.0,0.0148741418764299,,,-0.0065502183406114,-0.0298449612403101,-0.0059880239520956,0.0,0.0,0.0,,-0.0082644628099173,-0.0163934426229508,0.0125729681185451,-0.01010101010101,,0.0,-0.0072992700729926,-0.08,,0.0,0.0,0.0,,0.0012210012210012,,,-0.0093457943925233,-0.0154738878143133,0.0,0.0246305418719212,-0.0151120375195415,0.0,,,,,0.0,0.0020325203252031,,-0.0074234715155558,0.0204081632653061,,0.0298769771528997,,0.0,-0.0057142857142857,,-0.0111420612813371,,0.0256410256410257,-0.0029382957884428,
2020-09-29,-0.0040322580645162,0.0545454545454544,,0.0,,-0.0245098039215686,0.0089686098654708,,,0.0119760479041917,0.0,0.0,0.0135287485907553,,,0.0,0.0287654814222932,0.006024096385542,0.0121739130434783,0.0,-0.0074906367041198,,0.0277777777777779,0.0194444444444443,-0.0031042128603104,0.0102040816326529,,-0.0032520325203252,0.0058823529411764,0.0289855072463769,,0.0046801872074884,,0.0046082949308756,,0.0,,,0.0,-0.0068762278978389,0.0,-0.0048076923076924,0.0,0.0,,0.0410256410256408,,,-0.007246376811594,-0.0060851926977686,,0.0,0.06,,0.006825938566553,,,-0.0114942528735632,,0.0,0.0,0.0318750000000001,0.0166994106090372,
2020-09-30,-0.0080971659919028,0.0172413793103447,,-0.0068617840638565,,0.0050251256281406,0.0,,,-0.0236686390532544,-0.0290190493145807,0.0,-0.0100111234705227,,0.0,-0.0109890109890109,-0.0135922330097087,0.0,0.0,-0.0263157894736841,0.0132075471698114,,-0.0391891891891892,-0.0299727520435967,-0.0124555160142348,-0.0303030303030302,0.0028653295128939,-0.0048939641109297,-0.0029239766081871,0.028169014084507,,-0.0062111801242236,-0.0059171597633136,-0.0091743119266054,,-0.0256097560975608,0.0,,-0.0283018867924527,-0.0247279920870425,0.0,-0.0096618357487923,-0.0052910052910051,0.0,,0.0246305418719212,,,-0.021897810218978,-0.0020408163265307,,,0.0,,-0.035593220338983,,,-0.0232558139534883,,0.0295774647887323,,-0.0006056935190794,-0.004830917874396,
2020-10-01,0.0,0.0169491525423728,,,,-0.005,-0.031111111111111,,-0.0013797861331493,-0.0060606060606061,-0.0282361569490282,,-0.0292134831460674,,0.0117647058823529,-0.0022222222222221,-0.0299212598425195,,-0.0343642611683848,-0.054054054054054,-0.031657355679702,,-0.0084388185654009,-0.0294943820224719,-0.0608108108108107,-0.0520833333333332,0.0,-0.03,-0.0073313782991203,-0.0273972602739726,,-0.0296875,-0.0029761904761904,0.0,-0.0070921985815602,-0.0237797246558197,0.0,,-0.0291262135922331,-0.0446247464503042,-0.0298013245033111,-0.0341463414634145,-0.0297872340425533,-0.0175438596491228,,-0.0192307692307692,,,-0.0298507462686566,-0.0286298568507157,,,-0.0754716981132075,,-0.0298769771528999,0.0739030023094688,0.0,-0.005952380952381,-0.029535864978903,-0.0150478796169629,-0.03,-0.0296969696969695,-0.0233009708737864,
2020-10-02,-0.0040816326530612,-0.0333333333333333,,,,0.0,-0.0137614678899083,,0.0,0.0060975609756097,,-0.028776978417266,0.0289351851851851,,,-0.0033407572383075,-0.0178571428571429,0.0598802395209581,0.0160142348754448,0.0142857142857142,-0.0192307692307693,0.0006253908692932,-0.0070921985815602,0.0021707670043413,-0.0100719424460432,0.0219780219780219,0.0,-0.003380091262464,-0.0103397341211225,-0.0281690140845071,,-0.0289855072463767,0.0298507462686568,0.0,-0.0047619047619048,-0.014102564102564,0.0,,0.0,-0.0063694267515923,-0.0102389078498293,0.0151515151515151,-0.0076754385964911,-0.0178571428571427,,0.0294117647058824,,,0.0,-0.0105263157894736,,-0.0168067226890756,0.0174927113702623,,-0.0144927536231882,0.0021505376344086,,-0.0203592814371257,0.0,-0.0027777777777778,0.0,0.0243597751405368,-0.0069582504970179,
