Day,ForecastedLogReturn,ForecastedVolatility
1,-0.017208569,-0.0002501013075460877
2,-0.0033194255,-4.824298126828494e-05
3,0.0067773946,9.849948978316283e-05
4,0.023660252,0.00034386705920105105
5,0.002951429,4.289469164130307e-05
6,0.021138417,0.0003072158822830329
7,0.0046933712,6.821126740965663e-05
8,0.047676664,0.000692910383149017
9,-0.0007094478,-1.031078291269037e-05
10,0.010379059,0.00015084440341992374
11,0.009040751,0.00013139404965345714
12,0.016772406,0.00024376232420857835
13,0.010628832,0.00015447447794124
14,0.013888728,0.00020185228948597713
15,0.004717949,6.856846681835245e-05
16,0.007626924,0.00011084615705208288
17,-0.0037964531,-5.5175877991715416e-05
18,-0.0023611388,-3.4315689696626354e-05
19,-0.023135873,-0.0003362459749772028
20,0.011115051,0.00016154096237077595
21,-0.005203401,-7.562380483966326e-05
22,-0.0029403374,-4.273349170352881e-05
23,0.0077779926,0.0001130417152288708
24,0.014382595,0.00020902992668338764
25,0.0023451303,3.4083029574001416e-05
26,0.008753962,0.00012722599681846053
27,0.0014275529,2.0747387591329355e-05
28,-0.001880477,-2.7329974428573548e-05
29,-0.009463341,-0.00013753578149483444
30,0.0018524334,2.6922403000193716e-05
31,-0.0064320387,-9.348024930075266e-05
32,0.010687813,0.00015533168884507154
33,0.0006684836,9.715428851814206e-06
34,-0.0047548986,-6.910547735038357e-05
35,-0.0040782467,-5.927133366761614e-05
36,-0.00311812,-4.531729951423225e-05
37,0.005292187,7.691417586009514e-05
38,0.020754308,0.00030163341995161774
39,0.012997378,0.00018889782150285545
40,0.0033026214,4.7998758523648694e-05
41,0.011697518,0.0001700062635070822
42,0.0036463279,5.2994027799056196e-05
43,0.0016352517,2.3765984843332723e-05
44,-0.019491278,-0.0002832771331879886
45,-0.0012736327,-1.8510383996222878e-05
46,-0.0036795565,-5.347695760969878e-05
47,0.012405994,0.00018030293237341344
48,0.009868383,0.0001434224791846905
49,-0.017479742,-0.0002540424122005006
50,-0.0029378608,-4.269749767065369e-05
51,-0.0051052966,-7.419799852997749e-05
52,0.008919121,0.00012962633894575483
53,0.010353849,0.00015047801346941268
54,0.001452471,2.1109535883458448e-05
55,0.006547065,9.515198720029437e-05
56,-0.0030698166,-4.461528221101664e-05
57,-0.002553961,-3.711807742211481e-05
58,0.012665713,0.00018407756504876046
59,0.028959958,0.00042089051317505696
60,-0.003640308,-5.2906538307659554e-05
61,-0.0024936611,-3.6241707148711137e-05
62,-0.0028116985,-4.086391351762096e-05
63,0.0041159377,5.981911838416118e-05
64,0.017003179,0.00024711626287779903
65,0.018631639,0.00027078354583639754
66,0.00029023027,4.218071242154956e-06
67,-0.0013719018,-1.993858099729026e-05
68,-0.0054783407,-7.961964668273728e-05
69,-0.0014360261,-2.08705327304091e-05
70,-0.010838915,-0.00015752772752883215
71,0.0020779907,3.0200546770253936e-05
72,-0.000504099,-7.326339724080514e-06
73,-0.0040284204,-5.854718258899053e-05
74,-0.0029922046,-4.348730562808685e-05
75,-0.0006755791,-9.818551739082156e-06
76,0.009369316,0.0001361692602707905
77,0.011788306,0.00017132573565402774
78,-0.0015688369,-2.2800742775023002e-05
79,0.00017531765,2.5479848738410437e-06
80,-0.001677403,-2.437859231918698e-05
