date,AETEC_xgboost_forecast,AMV_xgboost_forecast,ARTES_xgboost_forecast,MEDIN_xgboost_forecast,HANL_xgboost_forecast,CC_xgboost_forecast,CELL_xgboost_forecast,CIL_xgboost_forecast,CITY_xgboost_forecast,DH_xgboost_forecast,ECYCL_xgboost_forecast,GIF_xgboost_forecast,HANL_xgboost_forecast,ICF_xgboost_forecast,LNDOR_xgboost_forecast,LSTR_xgboost_forecast,MIP_xgboost_forecast,MNP_xgboost_forecast,MPBS_xgboost_forecast,NAKL_xgboost_forecast,NBL_xgboost_forecast,OTH_xgboost_forecast,PLAST_xgboost_forecast,SAH_xgboost_forecast,SAMAA_xgboost_forecast,SERVI_xgboost_forecast,SIPHA_xgboost_forecast,SITS_xgboost_forecast,SMD_xgboost_forecast,SOPAT_xgboost_forecast,SOTE_xgboost_forecast,SPDI_xgboost_forecast,STAR_xgboost_forecast,STIP_xgboost_forecast,STVR_xgboost_forecast,TINV_xgboost_forecast,TJL_xgboost_forecast,TLNET_xgboost_forecast,TLS_xgboost_forecast,TRE_xgboost_forecast,UMED_xgboost_forecast,WIFAK_xgboost_forecast
10,0.00661351,-0.002801965,0.000606473,-0.00115869,-0.000147988,-0.002340509,-0.003867106,-0.003016445,0.010184877,0.015830308,-0.000744297,-0.003385962,0.000808339,-0.002047821,-0.009375826,0.00209644,-0.06646646,-0.009887316,-0.004857851,-0.000383182,0.003223358,-0.001748425,0.00944618,-0.001509995,-0.003380136,-0.016898692,0.003761907,-0.04548118,0.003865599,-0.002653976,0.007715728,0.016902508,-0.018447021,-0.026942734,-0.004237214,0.014390512,-0.001559826,-0.002116842,0.00057536,0.006599518,-0.007765958,0.000526783
11,0.005733676,-0.001422649,0.014904885,0.002243592,0.009591984,-0.000428832,0.007997341,0.04058963,0.004824712,-0.009613413,-0.006302959,-0.005729472,-0.000456691,0.008441449,-0.006975141,-0.018184686,0.0568089,-0.020111002,0.024686903,-0.000454293,-0.00276114,-0.000504143,-0.000353396,-0.002539691,-0.007655871,-0.004586258,-0.008048902,0.017363477,0.007294284,-0.000857301,0.007016804,0.017954154,0.004245819,0.04471725,-0.00893449,0.012001753,-0.004723631,0.004330041,-0.052074034,0.011847987,-0.016846858,0.006353662
12,-0.010467056,-0.001481856,-0.005090525,-0.004399676,0.001033264,0.004248158,-0.00274206,-0.000826444,0.00159298,0.002570978,0.002153929,-0.005729472,0.000808339,-0.003657955,-0.0073169,-0.023881033,-0.074852265,-0.004742688,0.013316684,-1.80E-05,0.00040709,-0.009092251,-0.002009038,-0.002868463,0.017725227,-0.012781748,0.025091624,0.045299474,0.016839186,0.024869794,-0.001870057,-0.008804195,-0.004020463,-0.030352699,-0.002498722,-0.009535385,-0.005092744,-0.006876377,-0.003835745,-0.004855791,-0.022889014,0.000307246
13,0.002362357,-0.002801965,-0.003365768,-0.015145577,-0.010351055,0.001901701,-0.003117764,0.04404211,0.006535705,-0.003083419,-0.003515876,-0.002727197,-0.000456691,-0.000174225,-0.009186921,-0.022818185,-0.030266423,-0.006631833,0.009450723,5.315644e-05,0.022303782,0.000217905,0.00501133,9.27527e-05,0.006236549,-0.03430478,0.001079039,0.005026609,0.001870788,0.000997475,0.013262684,0.006061958,-0.00596565,0.014395325,-0.001863999,-0.015505984,-0.005524837,0.007444757,0.010724831,0.006654386,-0.001633006,-0.000123709
14,0.006158134,-0.001422649,-0.000776383,-0.037352454,-0.017288936,-0.001369159,0.005652929,0.03995552,0.010912972,-0.003683818,0.011856667,-0.005729472,0.000808339,-0.013159642,-0.010486929,-0.023318473,0.07088785,0.016795395,-0.018137118,5.315644e-05,0.011957579,-0.003880813,0.002464149,-0.008145757,-0.001194604,0.03531024,-0.001352146,-0.019431645,-0.030136388,0.005527521,-0.008783148,-0.007393783,-0.007160137,-0.019654602,-0.002171831,0.006284781,0.001218685,-0.009292217,-0.011311334,0.002901306,-0.005165571,0.01019835
15,-0.002550392,-0.001481856,-0.006135727,0.014352903,-0.001638468,-0.001772501,-0.003422784,0.000962135,0.008193038,0.003032214,-0.002143717,-0.005729472,-0.000456691,-0.005733955,-0.019750431,-0.063220754,-0.007068939,-0.0100781,-0.004881023,-0.000383182,0.006576408,-0.002659176,0.00733413,0.002104481,-0.001248079,-0.016684582,0.010813937,-0.042817082,0.046844456,0.005715549,-0.002820577,0.018875139,0.005961195,-0.015342929,-0.001765286,-0.00604327,-0.00486534,-0.001200456,0.006978274,-0.028254481,0.014695329,0.000316467
16,-0.003502121,-0.002801965,-0.000868424,-0.00159247,0.007850277,0.001498358,-0.007179254,-0.017790908,-3.51E-05,0.005544403,0.00361674,-0.005729472,0.000808339,0.002044102,-0.001847489,0.04027764,0.023282384,-0.00356543,0.0143414,-0.000454293,0.018333506,0.000376003,-0.003638555,-0.007180255,-0.00350741,0.003317907,-0.021579811,0.07515448,0.016175114,-0.004638077,-0.014786084,0.02627881,-0.000405669,0.055336773,0.010830427,0.009167195,0.006213906,0.005238095,-0.008675715,-0.002055317,0.00312008,0.00510517
17,-0.003243421,-0.001422649,-0.007312583,0.000969373,-0.009664187,0.001901701,-0.00488038,0.03947359,-0.003266407,-0.005899075,0.001785662,-0.005729472,-0.000456691,0.004999488,-0.002286421,0.034292623,0.042590093,0.007294877,0.010296979,-1.80E-05,0.010670126,0.000516159,-0.002375623,-0.001386871,0.007066128,-0.022021113,0.015302962,0.035581987,0.013572064,0.00174233,-0.012677893,-0.010308231,0.000924894,-0.030851604,-0.003660217,-0.00255971,0.004930022,-0.000497156,-0.011545295,-0.001964089,0.00564987,-0.001400435
18,-0.002550392,-0.001481856,-0.003487067,0.035275016,-0.001777849,-0.001369159,-0.002012596,-0.031125892,0.000439075,-0.004807846,-0.000786203,-0.005729472,0.000808339,-0.003305748,-0.004691518,-0.026805114,-0.10266439,-0.013340314,-0.014170161,5.315644e-05,0.010364556,-0.001895733,-0.003135657,-0.003266519,0.002134049,-0.01353697,-0.023711255,-0.04885566,-0.017765205,0.002076611,0.000162034,0.006374071,-9.45E-05,0.043440968,0.008491495,-0.03688247,0.001345173,0.004039504,0.005857884,-0.03172962,-0.004471626,-0.004091923
19,-0.002550392,-0.002801965,0.002645383,0.008604215,-0.00086812,-0.001772501,-0.002010367,0.023240114,-0.002578858,-0.003202231,0.001071852,-0.005729472,-0.000456691,-0.00030725,-0.00385561,0.003592331,-0.07744355,0.009199814,0.014737717,5.315644e-05,-0.011186849,-0.00502637,0.002657772,-0.002731889,-0.005056077,0.028004345,0.008522723,-0.00367476,0.009161807,0.001678401,0.003645926,-0.001484701,0.016542673,0.009456479,-0.005371947,0.08724701,-0.002199159,-0.002823777,0.010667573,0.011659063,-0.007113202,-0.005178676
